Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"📢 Exciting Announcement! 🎉 The Datahack nonprofit, in collaboration with the Technion - Israel Institute of Technology, University of Haifa, and Tsofen, invites you to discover the #DataCoach program! 🚀 It's a groundbreaking initiative aimed at integrating Arabs into the dynamic realms of Data Science and AI! 💻✨

📍 Join Us @ Haifa University!
📅 Tuesday, 20/2/24
🕛 12:00 PM
🏢 City Campus, Delen Building, Class 015
📝 Don't miss out! Secure your spot by registering here: https://lnkd.in/d3sEzvaf

📅 Can't make it in person? No worries! Join us virtually via Zoom!
📅 Monday, 26/2/24
🕕 18:00 PM
📝 Register here: https://lnkd.in/dSP3TAGP

#DataScience #AI #DiversityInTech
Layan Bathish Maisam Jaljuli Islam Hag Yahya Merav Boaz - Boozy מירב (בוזי) בועז Dolev shelly Shay Palachy-Affek
",https://www.linkedin.com/feed/update/urn:li:activity:7163130907871195137,Organic,,Yara Yazbek,02/13/2024,,,All followers,960,,,36,0.037500001,20,2,2,,0.0625,
"🚀 Elevate Your Engineering Career with Tsofen's Mentoring Program! 🚀

Are you an experienced engineer looking to make a difference in the hi-tech industry? Join us at Tsofen's mentoring program! >> https://lnkd.in/d52sN6rQ

Here's what we offer:
✅ Volunteering opportunities to help shape the future of young Arab engineers.
✅ Training sessions to equip you with counseling and coaching skills.
✅ Access to a vibrant community of Arab and Jewish engineers for networking.

As a mentor, you'll have the chance to guide and educate students and young engineers through regular personal meetings, both online and in person. Share your expertise, empower newcomers, and make an impact on the engineering community!

Register now for more details. Let's build a brighter future together! 🌟 
#MentoringProgram #TechIndustryLeadership",https://www.linkedin.com/feed/update/urn:li:activity:7163130718498217984,Organic,,Merav Boaz - Boozy מירב (בוזי) בועז ,02/13/2024,,,All followers,1044,,,26,0.024904214,9,0,6,,0.039272029,
"📢 ***Exciting Job Opportunity*** 📢 

Tsofen is seeking a Resource Development Manager to join our dynamic team at a civil social organization dedicated to promoting #sharedsociety.

Key Responsibilities: 
Spearheading resource development efforts in Israel and internationally.
Crafting and executing strategic plans.
Establishing clear objectives and comprehensive work plans for fundraising activities both domestically and abroad, cultivating relationships with donors including corporations and foundations.
Proactively initiating new partnerships, coordinating donor events overseas, and more.

This position offers a hybrid work model, with offices located in Nazareth and Kafr Qasim, and the flexibility to work remotely.

Requirements:
Bachelor's degree in a relevant field is required.
Minimum of 5 years of experience in Resource Development is essential.
Fluency in both English and Hebrew is mandatory.
This opportunity is open to candidates of all genders.
Salary range: 15K.

Resumes can be sent to merav.boaz@tsofen.org 

Wishing you the best of luck! ✨  

Merav Boaz - Boozy מירב (בוזי) בועז Maisam Jaljuli Michael Levitt ",https://www.linkedin.com/feed/update/urn:li:activity:7162388563358158848,Organic,,Yara Yazbek,02/11/2024,,,All followers,1985,,,65,0.032745592,5,0,2,,0.036272041,
"🚀 Calling all city campus students! Don't miss out on the opportunity to meet Shutterfly engineers in an exclusive event brought to you by the Career Development Center at University of Haifa in partnership with Tsofen تسوفن צופן!

The event will feature engineers from the company and includes:

✅ Company presentation and areas of activity

✅ Short lectures on topics: Big Data | 360 Vision – Frontend & Backend | Chat GPT Session

The meeting includes light refreshments, requires advance registration, and is open to all students from the city campus.

Thursday | 15.2.24 | 14:00 | Room 110 in the Dylan Building

Register here: https://lnkd.in/d2dJ-T5C

Rawya Hammad Rawia Khoury Zaher Maisam Jaljuli USAID Forsatech ",https://www.linkedin.com/feed/update/urn:li:activity:7160969068357787649,Organic,,Kinneret Belzer,02/07/2024,,,All followers,940,,,25,0.026595745,9,1,1,,0.038297873,
"We are thrilled to share our participation in the Energy Water Nexus #Hackathon hosted by the Kinneret Innovation Center. 
Five additional organizations joined forces for this Hackathon: Aquestia - A.R.I., Dorot, OCV, MEKOROT®, WaterEdge.IL BioCastle Water Technologies Ltd. @eshkol galil maarvi. Each organization tackled a specific challenge related to #water and #energy, setting the stage for #innovation and #collaboration.
Over 100 participants from diverse backgrounds, including Arabs, Jews, students from various colleges and academic institutions, engineers, and professionals from different fields, came together to brainstorm solutions. 

We're proud to have partnered with #masar_to_hi-tech in partnership with Edmond De Rothschild Partnerships. Mwassi Ahmad

Additionally, mentors and judges, including our very own Merav Boaz - Boozy מירב (בוזי) בועז, provided invaluable guidance throughout the event.

Congratulations to the top two winning teams from Masar! One team tackled Aquestia - A.R.I., Dorot, OCV challenge, while the other focused on MEKOROT® challenge, showcasing remarkable #ingenuity and problem-solving skills.
We extend our gratitude to all participants, mentors, judges, and organizers for making this event a success. Together, we're driving innovation and making strides in the energy-water nexus.
#Tsofen #Innovation #Hackathon #EnergyWaterNexus #Collaboration #Diversity #TechCommunity
Layan Bathish Islam Hag Yahya Angela Obeid Sokkar Manal Saabni Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7159163861323988993,Organic,,Kinneret Belzer,02/02/2024,,,All followers,1878,,,363,0.19329074,36,3,2,,0.215122476,
"🚀 LIVE from the #Waterthon 🌊💡 Kinneret Innovation Center
Students are actively tackling water #challenges  together right now! Witness the power of #diversity  and #collaboration  as teams exchange ideas to shape a cleaner, brighter future. Stay tuned for updates!
#Waterthon #Innovation #Collaboration #Hackathon #Tsofen Layan Bathish Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Islam Hag Yahya Angela Obeid Sokkar Tsofen تسوفن צופן
Photo credit: Yariv Kristal",https://www.linkedin.com/feed/update/urn:li:activity:7158790198317793280,Organic,,Kinneret Belzer,02/01/2024,,,All followers,1016,,,182,0.179133862,31,0,0,,0.209645674,
"Check out Tsofen تسوفن צופן CEO Maisam Jaljuli on the 'זמן לחשוב' #podcast, hosted by Ravit Gofman, where they engaged in a profound conversation amidst the challenging backdrop of the current war. 
The focus? The #evolving  landscape of organizational discourse during times of #conflict.",https://www.linkedin.com/feed/update/urn:li:activity:7158081477560147968,Organic,,Kinneret Belzer,01/30/2024,,,All followers,479,,,9,0.018789144,8,0,0,,0.035490606,
"Curious about what #innovation truly means in today's tech-driven era? Wondering about its relevance in the world of technology?
Join us at Tsofen تسوفن צופן for an open discussion with Cadence Design Systems where we delve into the significance of innovation, its impact on #professionaldevelopment, and how it can elevate both your work and mindset. This session will be facilitated by experienced engineers who will share insights from their professional journeys.

If you have over a year of experience in the tech industry, this workshop is tailored for you.

Date: Monday, February 12, 2024
Time: 5:00 PM
Hosted in collaboration with Cadence

Don't miss out on this engaging conversation about innovation. 

Secure your spot by registering here: https://lnkd.in/dJzDMzrN

#Innovation #TechIndustry #ProfessionalDevelopment #Discussion #Cadence #HiTech #Workshop Rawan Qudsi Ziyad Hanna Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7158058771380871169,Organic,,Kinneret Belzer,01/30/2024,,,All followers,466,,,8,0.017167382,5,0,3,,0.034334764,
"Mastering #budgetmanagement  for #efficiency & #savings 
Join Tsofen تسوفن צופן at our upcoming #workshop  on effective and balanced budget management with Ragda Agbariya from Bank Hapoalim בנק הפועלים.

Date: Tuesday, February 13, 2024
Time: 11:00 AM - 12:00 PM
Platform: Microsoft Teams

Learn how to navigate your budget in a balanced and accurate way, ensuring efficiency and cost savings. Ragda Agbariya, with her extensive experience, will guide you through practical strategies for financial optimization.
Don't miss this opportunity to enhance your financial skills and make informed decisions. Secure your spot by registering here: https://lnkd.in/dQrVFckj
#BudgetManagement #FinancialEfficiency #Savings #Workshop #Tsofen Lujain Adawi Abdelrazek Juman Sharif Mona Tannous Rizik Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7158035187413463041,Organic,,Kinneret Belzer,01/30/2024,,,All followers,548,,,23,0.041970804,4,0,2,,0.052919708,
"🎥 Watch our CEO, Maisam Jaljuli, share insights on N12 News Israel about Tsofen تسوفن צופן's recent survey in collaboration with NAS Research & Consulting, unraveling the nuanced impact of the conflict on Jewish-Arab relations. 
Maisam urges companies to foster ongoing #dialogue , reinforce human connections among colleagues and give employees the tools needed to address their feelin arising from the ongoing war. ",https://www.linkedin.com/feed/update/urn:li:activity:7157295810177597440,Organic,,Kinneret Belzer,01/28/2024,,,All followers,3184,1360,,251,0.078831658,49,2,1,,0.095163316,Video
"Ina Shternberg: ""I believe the goodness we have within our workplace, our 'inner beauty,' can shine through and make a positive impact on the tough realities outside.""

Amir Haddad : ""Just being present at work these days, engaging with my colleagues in the company, I find a sense of hope and sanity. There's hope for acceptance and understanding, coexisting despite all that's happening outside, towards every human being and the diversity they bring to the workplace.""

In today's climate, it is crucial, now more than ever, to amplify the message of #sharedsociety. Collaborating with our partners at Hailo, we at Tsofen تسوفن צופן aim to illuminate a workplace that embraces #diversityandinclusion. We strive to foster a positive work environment, promoting acceptance and tolerance for everyone, regardless of their background, and celebrating the unique contributions each individual brings to the organization. Thank you Ina & Amir for amplifying these important voices. ",https://www.linkedin.com/feed/update/urn:li:activity:7157289299573387264,Organic,,Kinneret Belzer,01/28/2024,,,All followers,2889,,,120,0.041536864,78,3,6,,0.071651094,
"Ina Shternberg: ""I believe the goodness we have within our workplace, our 'inner beauty,' can shine through and make a positive impact on the tough realities outside.""

Amir Haddad : ""Just being present at work these days, engaging with my colleagues in the company, I find a sense of hope and sanity. There's hope for acceptance and understanding, coexisting despite all that's happening outside, towards every human being and the diversity they bring to the workplace.""

In today's climate, it is crucial, now more than ever, to amplify the message of #sharedsociety. Collaborating with our partners at Hailo, we at Tsofen تسوفن צופן aim to illuminate a workplace that embraces #diversityandinclusion. We strive to foster a positive work environment, promoting acceptance and tolerance for everyone, regardless of their background, and celebrating the unique contributions each individual brings to the organization. Thank you Ina & Amir for amplifying these important voices. ",https://www.linkedin.com/feed/update/urn:li:activity:7157289299573387264,Sponsored,Hailo,Kinneret Belzer,01/28/2024,01/29/2024,01/31/2024,All followers,69439,,,67,0.000964876,1,0,0,0,0.000964876,
"Ina Shternberg: ""I believe the goodness we have within our workplace, our 'inner beauty,' can shine through and make a positive impact on the tough realities outside.""

Amir Haddad : ""Just being present at work these days, engaging with my colleagues in the company, I find a sense of hope and sanity. There's hope for acceptance and understanding, coexisting despite all that's happening outside, towards every human being and the diversity they bring to the workplace.""

In today's climate, it is crucial, now more than ever, to amplify the message of #sharedsociety. Collaborating with our partners at Hailo, we at Tsofen تسوفن צופן aim to illuminate a workplace that embraces #diversityandinclusion. We strive to foster a positive work environment, promoting acceptance and tolerance for everyone, regardless of their background, and celebrating the unique contributions each individual brings to the organization. Thank you Ina & Amir for amplifying these important voices. ",https://www.linkedin.com/feed/update/urn:li:activity:7157289299573387264,Total,,Kinneret Belzer,01/28/2024,,,All followers,72328,,,187,0.002585444,79,3,6,0,0.003788298,
"🌐 Exciting Opportunity for Hi-Tech Professionals! 🚀

Are you looking to enhance your English language skills for high-tech job opportunities? Join Tsofen تسوفن צופן  workshops covering various aspects, including #resume  writing, job #interview  skills, and essential industry #terminology.

📅 Our first workshop, in collaboration with eToro will focus on ""Writing English Resumes and Applying for Hi-Tech Jobs."" Learn how to craft a compelling resume, enhance it with English expressions, and navigate the job application process.

📆 Save the date: Wednesday, January 31, 2024
🕒 Time: 4:30 PM - 5:30 PM

🎓 Whether you're a student, recent graduate, or exploring a tech career without prior experience, we'll address your queries:
- How to tailor your resume for tech positions?
- What can you add to stand out as a university student or inexperienced graduate?
- Best ways to submit your resume: Email, company contact, LinkedIn, or another method?

📝 Limited spots available! Register now through the following link: https://lnkd.in/dweXPGNg

#TechCareers #LanguageSkills #ProfessionalDevelopment #TsofenWorkshop 🌐🚀 Angela Obeid Sokkar Tal Schneier Reut Kessel",https://www.linkedin.com/feed/update/urn:li:activity:7155503753788370945,Organic,,Kinneret Belzer,01/23/2024,,,All followers,759,,,21,0.027667984,7,0,4,,0.042160738,
"🌐 Join Tsofen تسوفن צופן & Cadence Design Systems  for a dynamic career advancement event! If you're a tech professional with over a year in the industry, We invite you join us!

Gain insights and #tips for career growth. 🚀 

Register now: 
https://lnkd.in/dMVvbEdk

📅 Schedule:
- 17:00-17:30: Networking with food & drinks
17:30-18:00: Intro by Dr. Ziyad Hanna 
18:00-18:45: Innovation Unleashed
18:45-19:00: Break
19:00-20:00: Navigating Futures: Building Your Path (Open Session)

Don't miss this opportunity to propel your career forward with Cadence! #CareerDevelopment #Engineering #TechInnovation #tsofen Rawan Qudsi joanne Roshrosh Waked Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7155214845372477440,Organic,,Kinneret Belzer,01/22/2024,,,All followers,661,,,12,0.018154312,12,0,2,,0.039334342,
"In the ever-evolving landscape of Israel's high-tech sector, a recent Tsofen تسوفن צופן and NAS research & consulting survey unveils the nuanced impact of the conflict  on Jewish-Arab relations. Strikingly, 44% of Arab engineers express hesitancy about going to work, with over 30% reluctant to converse in Arabic. While 65% report unchanged relationships with Jewish colleagues, a significant 25% note a negative shift, emphasizing the need for proactive measures to bridge divides in this critical industry.

Tsofen's CEO, Maisam Jaljuli, urges companies to take heed, recognizing the potential ripple effect on Arab engineers' professional trajectory. As tensions persist, fostering ongoing dialogue, reinforcing human connections, and addressing the complexities arising from the security situation are paramount. The survey underscores the imperative for companies to actively cultivate #inclusivity , ensuring that all employees, regardless of background, feel valued and integral to the shared vision of a thriving high-tech ecosystem.

Merav Boaz - Boozy מירב (בוזי) בועז Jasmine Tamuz Maisam Jaljuli 


https://lnkd.in/dUYZUtF5",https://www.linkedin.com/feed/update/urn:li:activity:7155114389493145600,Organic,,Kinneret Belzer,01/22/2024,,,All followers,1785,,,107,0.059943978,29,1,2,,0.077871151,
"In the ever-evolving landscape of Israel's high-tech sector, a recent Tsofen تسوفن צופן and NAS research & consulting survey unveils the nuanced impact of the conflict  on Jewish-Arab relations. Strikingly, 44% of Arab engineers express hesitancy about going to work, with over 30% reluctant to converse in Arabic. While 65% report unchanged relationships with Jewish colleagues, a significant 25% note a negative shift, emphasizing the need for proactive measures to bridge divides in this critical industry.

Tsofen's CEO, Maisam Jaljuli, urges companies to take heed, recognizing the potential ripple effect on Arab engineers' professional trajectory. As tensions persist, fostering ongoing dialogue, reinforcing human connections, and addressing the complexities arising from the security situation are paramount. The survey underscores the imperative for companies to actively cultivate #inclusivity , ensuring that all employees, regardless of background, feel valued and integral to the shared vision of a thriving high-tech ecosystem.

Merav Boaz - Boozy מירב (בוזי) בועז Jasmine Tamuz Maisam Jaljuli 


https://lnkd.in/dUYZUtF5",https://www.linkedin.com/feed/update/urn:li:activity:7155114389493145600,Sponsored,Article1,Kinneret Belzer,01/22/2024,01/24/2024,01/29/2024,All followers,92801,,,310,0.003340481,1,1,1,0,0.003362033,
"In the ever-evolving landscape of Israel's high-tech sector, a recent Tsofen تسوفن צופן and NAS research & consulting survey unveils the nuanced impact of the conflict  on Jewish-Arab relations. Strikingly, 44% of Arab engineers express hesitancy about going to work, with over 30% reluctant to converse in Arabic. While 65% report unchanged relationships with Jewish colleagues, a significant 25% note a negative shift, emphasizing the need for proactive measures to bridge divides in this critical industry.

Tsofen's CEO, Maisam Jaljuli, urges companies to take heed, recognizing the potential ripple effect on Arab engineers' professional trajectory. As tensions persist, fostering ongoing dialogue, reinforcing human connections, and addressing the complexities arising from the security situation are paramount. The survey underscores the imperative for companies to actively cultivate #inclusivity , ensuring that all employees, regardless of background, feel valued and integral to the shared vision of a thriving high-tech ecosystem.

Merav Boaz - Boozy מירב (בוזי) בועז Jasmine Tamuz Maisam Jaljuli 


https://lnkd.in/dUYZUtF5",https://www.linkedin.com/feed/update/urn:li:activity:7155114389493145600,Total,,Kinneret Belzer,01/22/2024,,,All followers,94586,,,417,0.004408686,30,2,3,0,0.004768148,
" 🌐At Tsofen تسوفن צופן we are thrilled to announce the #kickoff of the #waterthon in #collaboration with Kinneret Innovation Center 🎉 This event showcases the collaborative spirit between Arab and Jewish students and engineers, as they take on five challenges presented by leading companies, all geared towards addressing #environmental issues in the realms of #water and energy.
🌊💡 Stay tuned for updates and insights as these bright minds work towards innovative technological solutions. Follow us for real-time updates from the Kinneret Hackathon journey.
 #Innovation #TechSolutions #Collaboration #EnvironmentalChallenges #Tsofen #EngineeringExcellence Maisam Jaljuli Manal Saabni Merav Boaz - Boozy מירב (בוזי) בועז Islam Hag Yahya Layan Bathish kawkab wattad",https://www.linkedin.com/feed/update/urn:li:activity:7155093456434913281,Organic,,Kinneret Belzer,01/22/2024,,,All followers,792,,,61,0.077020206,9,0,0,,0.088383839,
"These days, it is especially important to amplify voices of shared society.  

In this challenging period, the workplace can play a role in building diversity and inclusion, as well as strengthening and maintaining relationships among Arab and Jewish employees within it.

We would like to express our gratitude to engineers Mustafa Ali and Avi Shevet from INTUIT for participating in the ""نعمل معًا – עובדים ביחד"" campaign.

Mustafa shared with us: ""As representatives of the ARAB ERG community at INTUIT, we received an invitation to meet with senior executives in the company to hear our voices, express ourselves, and explore how the company can support us.""",https://www.linkedin.com/feed/update/urn:li:activity:7153775595171069952,Organic,,Merav Boaz - Boozy מירב (בוזי) בועז ,01/18/2024,,,All followers,1717,,,54,0.031450205,62,2,6,,0.072218984,
"These days, it is especially important to amplify voices of shared society.  

In this challenging period, the workplace can play a role in building diversity and inclusion, as well as strengthening and maintaining relationships among Arab and Jewish employees within it.

We would like to express our gratitude to engineers Mustafa Ali and Avi Shevet from INTUIT for participating in the ""نعمل معًا – עובדים ביחד"" campaign.

Mustafa shared with us: ""As representatives of the ARAB ERG community at INTUIT, we received an invitation to meet with senior executives in the company to hear our voices, express ourselves, and explore how the company can support us.""",https://www.linkedin.com/feed/update/urn:li:activity:7153775595171069952,Sponsored,Engagement campaign,Merav Boaz - Boozy מירב (בוזי) בועז ,01/18/2024,01/18/2024,01/27/2024,All followers,108087,,,159,0.001471037,4,0,0,0,0.001471037,
"These days, it is especially important to amplify voices of shared society.  

In this challenging period, the workplace can play a role in building diversity and inclusion, as well as strengthening and maintaining relationships among Arab and Jewish employees within it.

We would like to express our gratitude to engineers Mustafa Ali and Avi Shevet from INTUIT for participating in the ""نعمل معًا – עובדים ביחד"" campaign.

Mustafa shared with us: ""As representatives of the ARAB ERG community at INTUIT, we received an invitation to meet with senior executives in the company to hear our voices, express ourselves, and explore how the company can support us.""",https://www.linkedin.com/feed/update/urn:li:activity:7153775595171069952,Total,,Merav Boaz - Boozy מירב (בוזי) בועז ,01/18/2024,,,All followers,109804,,,213,0.00193982,66,2,6,0,0.00257732,
"#Hackathon Energy Water Nexus

🌟 Do you excel at solving challenges?
🧠 Bursting with brilliant ideas?
💡 Whether you're into #water , #energy , #innovation , or just a #creativethinker - here's your chance to make an #impact !

Use your knowledge and experience to create significant #change ! Join us in shaping an #innovative  future for a cleaner world. 🌎

*Limited spots available. Registration is individually, (not as groups)
**Please mark Tsofen تسوفن צופן as the referring entity in the registration form

For more details and to sign up, click here: https://lnkd.in/dxmb26zp

Let's innovate together! #Innovation #CleanFuture #Hackathon #WaterEnergyNexus #tsofen 
Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Islam Hag Yahya Layan Bathish Kinneret Belzer Kinneret Innovation Center Israel Innovation Authority רשות החדשנות ",https://www.linkedin.com/feed/update/urn:li:activity:7150405321201442817,Organic,,Kinneret Belzer,01/09/2024,,,All followers,762,,,31,0.040682416,9,0,3,,0.056430448,
